ATVI
ADBE
AMD
HON
ALGN
GOOGL
GOOG
AMZN
AAL
AMGN
ADI
AAPL
AMAT
ASML
ADSK
ADP
BIDU
BIIB
BMRN
BKNG
AVGO
CDNS
CERN
CHTR
CHKP
CTAS
CSCO
CTXS
CTSH
CMCSA
COST
CSX
DLTR
EBAY
EA
EXPE
FB
FAST
FISV
GILD
HAS
HSIC
IDXX
ILMN
INCY
INTC
INTU
ISRG
JBHT
KLAC
LRCX
LBTYA
LBTYK
LULU
MAR
MELI
MCHP
MU
MSFT
MDLZ
MNST
NTAP
NFLX
NVDA
NXPI
ORLY
PCAR
PAYX
PEP
QCOM
REGN
ROST
SIRI
SWKS
SBUX
SNPS
TMUS
TTWO
TSLA
TXN
ULTA
UAL
VRSN
VRSK
VRTX
WBA
WDAY
WDC
WLTW
WYNN
XEL
XLNX
